# Injured,# Killed,Address,City Or County,Incident Date,Incident ID,Operations,State,Full Address,Latitude,Longitude
3,1,8200 block of S Maryland Ave,Chicago,2019-08-25,,,Illinois,"8200 block of S Maryland Ave Chicago, Illinois",41.745601,-87.604151
4,3,1700 block of East Bond St,Hobbs,2019-08-25,,,New Mexico,"1700 block of East Bond St Hobbs, New Mexico",32.7037228,-103.1162678
3,1,Warren Street,Lynn,2019-08-24,,,Massachusetts,"Warren Street Lynn, Massachusetts",42.4612926,-70.9601086
7,0,6200 block of Maxwell Dr,Temple Hills (Camp Springs),2019-08-24,,,Maryland,"6200 block of Maxwell Dr Temple Hills (Camp Springs), Maryland",38.8174429,-76.8985587
2,3,4900 block of Southwind St,Houston,2019-08-23,,,Texas,"4900 block of Southwind St Houston, Texas",29.6779794,-95.3503175
4,0,200 Riverview Park Dr,Dublin,2019-08-23,,,Georgia,"200 Riverview Park Dr Dublin, Georgia",32.5170907,-82.89741149999999
3,1,1122 Union Blvd,Saint Louis,2019-08-23,,,Missouri,"1122 Union Blvd Saint Louis, Missouri",38.6578194,-90.2721923
2,2,851 Bush River Rd,Columbia,2019-08-22,,,South Carolina,"851 Bush River Rd Columbia, South Carolina",34.0304199,-81.10036319999999
4,0,300 block of West Fifth St,Los Angeles,2019-08-22,,,California,"300 block of West Fifth St Los Angeles, California",34.0480568,-118.2510087
4,0,111 James P Brawley Dr SW,Atlanta,2019-08-20,,,Georgia,"111 James P Brawley Dr SW Atlanta, Georgia",33.7515405,-84.4135685
4,0,770 W 47th St,Kansas City,2019-08-18,,,Missouri,"770 W 47th St Kansas City, Missouri",39.0428858,-94.5958596
6,0,12500 block of Mylla St,Houston,2019-08-17,,,Texas,"12500 block of Mylla St Houston, Texas",29.7625879,-95.2154561
5,0,5800 block of N 15th St,Philadelphia,2019-08-15,,,Pennsylvania,"5800 block of N 15th St Philadelphia, Pennsylvania",40.0415651,-75.1464091
3,2,847 N University Dr,Montgomery,2019-08-15,,,Alabama,"847 N University Dr Montgomery, Alabama",32.3656319,-86.297387
6,0,3716 N 15th St,Philadelphia,2019-08-14,,,Pennsylvania,"3716 N 15th St Philadelphia, Pennsylvania",40.010029,-75.153031
3,2,E 38th St and E Roosevelt Ave,Tacoma,2019-08-13,,,Washington,"E 38th St and E Roosevelt Ave Tacoma, Washington",47.22308899999999,-122.398824
4,0,200 Young St,Greenwood,2019-08-12,,,Mississippi,"200 Young St Greenwood, Mississippi",33.5191121,-90.17406319999999
6,0,3500 block of W Lake St,Chicago,2019-08-11,,,Illinois,"3500 block of W Lake St Chicago, Illinois",41.8849698,-87.7137403
4,0,6346 Midlothian Turnpike,Richmond,2019-08-10,,,Virginia,"6346 Midlothian Turnpike Richmond, Virginia",37.50445759999999,-77.5144974
4,0,1100 Fillmore St,San Francisco,2019-08-10,,,California,"1100 Fillmore St San Francisco, California",37.7798868,-122.4317277
4,0,7300 block of S Artesian Ave,Chicago,2019-08-09,,,Illinois,"7300 block of S Artesian Ave Chicago, Illinois",41.7608928,-87.68463539999999
